sector,lat,lng,count,country,region_code,local_authority_code
AB22 8,57.18636,-2.119231,363,Scotland,S99999999,S12000033
AB22 9,57.18878,-2.133284,30,Scotland,S99999999,S12000033
AB23 8,57.209787,-2.088636,395,Scotland,S99999999,S12000033
AB23 9,61.94225,-1.863338,36,Scotland,S99999999,S12000033
AB24 1,57.168366,-2.09548,115,Scotland,S99999999,S12000033
AB24 2,57.170736,-2.119086,191,Scotland,S99999999,S12000033
AB24 3,57.161564,-2.105139,219,Scotland,S99999999,S12000033
AB24 4,57.165957,-2.127347,201,Scotland,S99999999,S12000033
AB24 5,57.155223,-2.093466,253,Scotland,S99999999,S12000033
AB25 1,57.151436,-2.107557,201,Scotland,S99999999,S12000033
AB25 2,57.151129,-2.11983,220,Scotland,S99999999,S12000033
AB25 3,57.157596,-2.114774,190,Scotland,S99999999,S12000033
AB25 9,62.259677,-1.865823,42,Scotland,S99999999,S12000033
AB3 1,56.847207,-2.479336,227,Scotland,S99999999,S12000034
AB3 2,56.975063,-2.223915,381,Scotland,S99999999,S12000034
AB3 3,57.053894,-2.462457,279,Scotland,S99999999,S12000034
AB3 4,57.110659,-2.673585,259,Scotland,S99999999,S12000034
AB3 5,57.062326,-2.945078,280,Scotland,S99999999,S12000034
AB3 6,57.152341,-2.30294,191,Scotland,S99999999,S12000034
AB3 7,57.182852,-2.493107,144,Scotland,S99999999,S12000034
AB3 8,57.218557,-2.810479,254,Scotland,S99999999,S12000034
AB3 9,57.40522,-3.279044,153,Scotland,S99999999,S12000020
AB30 1,56.845627,-2.477649,357,Scotland,S99999999,S12000034
AB30 9,56.835009,-2.463464,13,Scotland,S99999999,S12000034
AB31 3,57.054094,-2.465568,313,Scotland,S99999999,S12000034
AB31 4,57.098639,-2.604777,295,Scotland,S99999999,S12000034
AB31 5,57.06299,-2.461313,319,Scotland,S99999999,S12000034
AB31 6,57.03612,-2.480066,128,Scotland,S99999999,S12000034
AB31 9,63.419204,-2.117601,27,Scotland,S99999999,S12000034
AB32 6,57.152576,-2.30048,362,Scotland,S99999999,S12000034
AB32 7,57.168494,-2.41187,57,Scotland,S99999999,S12000034
AB32 9,57.148532,-2.288797,23,Scotland,S99999999,S12000034
AB33 8,57.226098,-2.736506,314,Scotland,S99999999,S12000034
AB34 4,57.130126,-2.856151,76,Scotland,S99999999,S12000034
AB34 5,57.079714,-2.794214,224,Scotland,S99999999,S12000034
AB35 5,57.039052,-3.143982,202,Scotland,S99999999,S12000034
AB36 8,57.196266,-3.072479,55,Scotland,S99999999,S12000034
AB37 9,57.329999,-3.35335,96,Scotland,S99999999,S12000020
AB38 7,57.503429,-3.25237,71,Scotland,S99999999,S12000020
AB38 9,57.473719,-3.212032,115,Scotland,S99999999,S12000020
AB39 2,56.960905,-2.220287,346,Scotland,S99999999,S12000034
AB39 3,57.000986,-2.215063,227,Scotland,S99999999,S12000034
AB39 8,57.032502,-2.176169,47,Scotland,S99999999,S12000034
AB39 9,59.356063,-2.085262,18,Scotland,S99999999,S12000034
AB4 0,57.339507,-2.149603,322,Scotland,S99999999,S12000034
AB4 1,57.666892,-2.508634,244,Scotland,S99999999,S12000034
AB4 2,57.653668,-2.683741,207,Scotland,S99999999,S12000034
AB4 3,57.6312,-2.483279,195,Scotland,S99999999,S12000034
AB4 4,57.626852,-2.094424,285,Scotland,S99999999,S12000034
AB4 5,57.683458,-2.003837,305,Scotland,S99999999,S12000034
AB4 6,57.505284,-1.792468,370,Scotland,S99999999,S12000034
AB4 7,57.485605,-1.874994,324,Scotland,S99999999,S12000034
AB4 8,57.518215,-2.098749,337,Scotland,S99999999,S12000034
AB4 9,57.389353,-2.064513,367,Scotland,S99999999,S12000034
AB41 0,57.365852,-2.167184,262,Scotland,S99999999,S12000034
AB41 1,59.071857,-2.000666,25,Scotland,S99999999,S12000034
AB41 6,57.316887,-2.079431,147,Scotland,S99999999,S12000034
AB41 7,57.387733,-2.202843,233,Scotland,S99999999,S12000034
AB41 8,57.396494,-2.058457,295,Scotland,S99999999,S12000034
AB41 9,57.365978,-2.077536,233,Scotland,S99999999,S12000034
AB42 0,57.43062,-1.882644,169,Scotland,S99999999,S12000034
AB42 1,57.508653,-1.789529,325,Scotland,S99999999,S12000034
AB42 2,57.500665,-1.802034,179,Scotland,S99999999,S12000034
AB42 3,57.509467,-1.823809,256,Scotland,S99999999,S12000034
AB42 4,57.531532,-2.008556,234,Scotland,S99999999,S12000034
AB42 5,57.505692,-2.034641,238,Scotland,S99999999,S12000034
AB42 6,57.506146,-1.794544,388,Scotland,S99999999,S12000034
AB42 7,57.484693,-1.873368,348,Scotland,S99999999,S12000034
AB42 8,57.516807,-2.058516,273,Scotland,S99999999,S12000034
AB42 9,64.037726,-1.523358,26,Scotland,S99999999,S12000034
AB43 1,95.76912,-0.200586,10,Scotland,S99999999,
AB43 4,57.627612,-2.095657,292,Scotland,S99999999,S12000034
AB43 5,57.682803,-2.004016,325,Scotland,S99999999,S12000034
AB43 6,57.606244,-2.156669,162,Scotland,S99999999,S12000034
AB43 7,57.669927,-2.081354,189,Scotland,S99999999,S12000034
AB43 8,57.642284,-1.946829,181,Scotland,S99999999,S12000034
AB43 9,57.688822,-2.015424,306,Scotland,S99999999,S12000034
AB44 1,57.668251,-2.492947,158,Scotland,S99999999,S12000034
AB45 1,57.664946,-2.527892,175,Scotland,S99999999,S12000034
AB45 2,57.657095,-2.67191,283,Scotland,S99999999,S12000034
AB45 3,57.636609,-2.468397,231,Scotland,S99999999,S12000034
AB45 9,78.832325,-1.260352,2,Scotland,S99999999,
AB5 0,57.278824,-2.30033,343,Scotland,S99999999,S12000034
AB5 1,57.675329,-2.964806,232,Scotland,S99999999,S12000020
AB5 2,57.671653,-2.895843,305,Scotland,S99999999,S12000020
AB5 3,57.544678,-2.956467,286,Scotland,S99999999,S12000020
AB5 4,57.40101,-2.924058,286,Scotland,S99999999,S12000034
AB5 5,57.498636,-2.727898,320,Scotland,S99999999,S12000034
AB5 6,57.378419,-2.62499,291,Scotland,S99999999,S12000034
AB5 7,57.556634,-2.425899,316,Scotland,S99999999,S12000034
AB5 8,57.45299,-2.404567,266,Scotland,S99999999,S12000034
AB5 9,57.287578,-2.418207,357,Scotland,S99999999,S12000034
AB51 0,57.292663,-2.346539,387,Scotland,S99999999,S12000034
AB51 1,63.914823,-2.007067,58,Scotland,S99999999,S12000034
AB51 3,57.27908,-2.376326,177,Scotland,S99999999,S12000034
AB51 4,57.289701,-2.390389,196,Scotland,S99999999,S12000034
AB51 5,57.281843,-2.440604,293,Scotland,S99999999,S12000034
AB51 6,57.296103,-2.368184,49,Scotland,S99999999,S12000034
AB51 7,57.193524,-2.524097,124,Scotland,S99999999,S12000034
AB51 8,57.406145,-2.436498,106,Scotland,S99999999,S12000034
AB51 9,57.288191,-2.415303,389,Scotland,S99999999,S12000034
AB52 6,57.342263,-2.602465,261,Scotland,S99999999,S12000034
AB53 4,57.53992,-2.484138,265,Scotland,S99999999,S12000034
AB53 5,57.573284,-2.35311,156,Scotland,S99999999,S12000034
AB53 6,57.520357,-2.221024,99,Scotland,S99999999,S12000034
AB53 7,57.55507,-2.433317,336,Scotland,S99999999,S12000034
AB53 8,57.473178,-2.394704,215,Scotland,S99999999,S12000034
AB53 9,57.537234,-2.462065,11,Scotland,S99999999,S12000034
AB54 4,57.390062,-2.853001,269,Scotland,S99999999,S12000034
AB54 5,57.497214,-2.732306,319,Scotland,S99999999,S12000034
AB54 6,57.455375,-2.670098,117,Scotland,S99999999,S12000034
AB54 7,57.542347,-2.684743,188,Scotland,S99999999,S12000034
AB54 8,57.4469,-2.787673,155,Scotland,S99999999,S12000034
AB54 9,65.958165,-2.228314,10,Scotland,S99999999,S12000034
AB55 3,57.543921,-2.956068,294,Scotland,S99999999,S12000020
AB55 4,57.44702,-3.121135,94,Scotland,S99999999,S12000020
AB55 5,57.533174,-2.960793,215,Scotland,S99999999,S12000020
AB55 6,57.562999,-2.943024,148,Scotland,S99999999,S12000020
AB55 9,99.999999,0.0,4,Scotland,S99999999,
AB56 1,57.674538,-2.965554,321,Scotland,S99999999,S12000020
AB56 2,57.672089,-2.89687,312,Scotland,S99999999,S12000020
AB56 4,57.689532,-2.86674,234,Scotland,S99999999,S12000020
AB56 5,57.648792,-2.949496,150,Scotland,S99999999,S12000020
AB56 9,62.967566,-2.590881,8,Scotland,S99999999,S12000020
AB9 1,57.145635,-2.106251,276,Scotland,S99999999,S12000033
AB9 2,57.145603,-2.111254,293,Scotland,S99999999,S12000033
AB9 5,57.14573,-2.104432,1,Scotland,S99999999,S12000033
AB9 6,57.139014,-2.120687,116,Scotland,S99999999,S12000033
AB9 7,99.999999,0.0,1,Scotland,S99999999,
AB9 8,57.150358,-2.120318,379,Scotland,S99999999,S12000033
AB99 8,81.619139,-0.897429,7,Scotland,S99999999,
AL1 1,51.744735,-0.326574,312,England,E12000006,E07000240
AL1 2,51.740421,-0.336713,239,England,E12000006,E07000240
AL1 3,51.752007,-0.328403,388,England,E12000006,E07000240
AL1 4,51.75636,-0.315491,340,England,E12000006,E07000240
AL1 5,51.747091,-0.3116,351,England,E12000006,E07000240
AL1 9,54.040053,-0.289803,400,England,E12000006,E07000240
AL10 0,51.766031,-0.227777,338,England,E12000006,E07000241
AL10 1,52.363493,-0.22339,161,England,E12000006,E07000241
AL10 8,51.754755,-0.22719,348,England,E12000006,E07000241
AL10 9,51.760578,-0.240156,364,England,E12000006,E07000241
AL2 1,51.725158,-0.298227,332,England,E12000006,E07000240
AL2 2,51.722296,-0.338965,290,England,E12000006,E07000240
AL2 3,51.719788,-0.355017,365,England,E12000006,E07000240
AL3 4,51.748782,-0.344826,277,England,E12000006,E07000240
AL3 5,51.757876,-0.336045,331,England,E12000006,E07000240
AL3 6,51.767772,-0.337976,216,England,E12000006,E07000240
AL3 7,51.790548,-0.385977,246,England,E12000006,E07000240
AL3 8,51.821963,-0.440361,239,England,E12000006,E07000096
AL4 0,51.7476,-0.287907,395,England,E12000006,E07000240
AL4 8,51.809006,-0.29701,282,England,E12000006,E07000240
AL4 9,51.767885,-0.303251,382,England,E12000006,E07000240
AL5 1,51.806592,-0.340987,274,England,E12000006,E07000240
AL5 2,51.810799,-0.3594,328,England,E12000006,E07000240
AL5 3,51.824907,-0.375897,189,England,E12000006,E07000240
AL5 4,51.821358,-0.351244,345,England,E12000006,E07000240
AL5 5,51.8191,-0.341547,287,England,E12000006,E07000240
AL5 9,52.168908,-0.338087,130,England,E12000006,E07000240
AL6 0,51.829648,-0.183496,341,England,E12000006,E07000241
AL6 9,51.83018,-0.216468,316,England,E12000006,E07000241
AL7 1,51.806418,-0.190545,363,England,E12000006,E07000241
AL7 2,51.800031,-0.172993,222,England,E12000006,E07000241
AL7 3,51.795571,-0.192136,318,England,E12000006,E07000241
AL7 4,51.787506,-0.192004,308,England,E12000006,E07000241
AL7 9,54.794708,-0.184171,274,England,E12000006,E07000241
AL8 6,51.79906,-0.210505,326,England,E12000006,E07000241
AL8 7,51.808518,-0.210131,274,England,E12000006,E07000241
AL9 5,51.766262,-0.212084,198,England,E12000006,E07000241
AL9 6,51.747033,-0.170652,143,England,E12000006,E07000241
AL9 7,51.732947,-0.21025,277,England,E12000006,E07000241
B1 1,52.476048,-1.903563,285,England,E12000005,E08000025
B1 2,52.479944,-1.910623,245,England,E12000005,E08000025
B1 3,52.483884,-1.910195,213,England,E12000005,E08000025
B1 9,52.47857,-1.912979,1,England,E12000005,E08000025
B10 0,52.469044,-1.85999,236,England,E12000005,E08000025
B10 9,52.471264,-1.846144,221,England,E12000005,E08000025
B11 1,52.462196,-1.870273,265,England,E12000005,E08000025
B11 2,52.456316,-1.849464,205,England,E12000005,E08000025
B11 3,52.449762,-1.850461,253,England,E12000005,E08000025
B11 4,52.451397,-1.866051,213,England,E12000005,E08000025
B11 9,52.458026,-1.863111,98,England,E12000005,E08000025
B12 0,52.468176,-1.882544,283,England,E12000005,E08000025
B12 8,52.456125,-1.877404,253,England,E12000005,E08000025
B12 9,52.458103,-1.888659,229,England,E12000005,E08000025
B13 0,52.426617,-1.873832,273,England,E12000005,E08000025
B13 3,52.607052,-1.883956,265,England,E12000005,E08000025
B13 8,52.444574,-1.893739,225,England,E12000005,E08000025
B13 9,52.440091,-1.877025,372,England,E12000005,E08000025
B14 4,52.413083,-1.873037,257,England,E12000005,E08000025
B14 5,52.408482,-1.893085,269,England,E12000005,E08000025
B14 6,52.421849,-1.901201,245,England,E12000005,E08000025
B14 7,52.432086,-1.89401,267,England,E12000005,E08000025
B15 1,52.472777,-1.917296,251,England,E12000005,E08000025
B15 2,52.464191,-1.919566,327,England,E12000005,E08000025
B15 3,52.468132,-1.933512,276,England,E12000005,E08000025
B16 0,52.480887,-1.939967,247,England,E12000005,E08000025
B16 6,53.128004,-1.903661,363,England,E12000005,E08000025
B16 8,52.47471,-1.924557,345,England,E12000005,E08000025
B16 9,52.47426,-1.938041,237,England,E12000005,E08000025
B17 0,52.453773,-1.958772,266,England,E12000005,E08000025
B17 8,52.470177,-1.969045,261,England,E12000005,E08000025
B17 9,52.46075,-1.96102,272,England,E12000005,E08000025
B18 4,52.49172,-1.938037,183,England,E12000005,E08000025
B18 5,52.494822,-1.922788,216,England,E12000005,E08000025
B18 6,52.489506,-1.912833,223,England,E12000005,E08000025
B18 7,52.487939,-1.927287,145,England,E12000005,E08000025
B18 9,53.462165,-1.873877,196,England,E12000005,E08000025
B19 1,52.501364,-1.911874,201,England,E12000005,E08000025
B19 2,52.498021,-1.903399,240,England,E12000005,E08000025
B19 3,52.490413,-1.903972,247,England,E12000005,E08000025
B2 2,52.494041,-1.895334,399,England,E12000005,E08000025
B2 4,52.479359,-1.898515,250,England,E12000005,E08000025
B2 5,52.479995,-1.899659,211,England,E12000005,E08000025
B20 1,52.520352,-1.933259,179,England,E12000005,E08000025
B20 2,52.51247,-1.922199,278,England,E12000005,E08000025
B20 3,52.510159,-1.9069,298,England,E12000005,E08000025
B21 0,52.503355,-1.942431,245,England,E12000005,E08000025
B21 1,52.823196,-1.907292,147,England,E12000005,E08000025
B21 8,52.511044,-1.946593,160,England,E12000005,E08000025
B21 9,52.505997,-1.932584,235,England,E12000005,E08000025
B22 1,52.411739,-1.928824,10,England,E12000005,E08000025
B23 3,52.922146,-1.825276,239,England,E12000005,E08000025
B23 5,52.535776,-1.852072,376,England,E12000005,E08000025
B23 6,52.52519,-1.845437,311,England,E12000005,E08000025
B23 7,52.522609,-1.863369,345,England,E12000005,E08000025
B24 0,52.524812,-1.81576,275,England,E12000005,E08000025
B24 8,52.513052,-1.843805,219,England,E12000005,E08000025
B24 9,52.519896,-1.829896,270,England,E12000005,E08000025
B25 8,52.46467,-1.822404,344,England,E12000005,E08000025
B25 9,52.672059,-1.825495,219,England,E12000005,E08000025
B26 1,52.460747,-1.806618,199,England,E12000005,E08000025
B26 2,52.467137,-1.792874,244,England,E12000005,E08000025
B26 3,52.455472,-1.783404,309,England,E12000005,E08000025
B27 6,52.450718,-1.820631,253,England,E12000005,E08000025
B27 7,52.441448,-1.82646,291,England,E12000005,E08000025
B28 0,52.421582,-1.846837,335,England,E12000005,E08000025
B28 1,52.429098,-1.843628,99,England,E12000005,E08000025
B28 8,52.437291,-1.843151,220,England,E12000005,E08000025
B28 9,52.428281,-1.836957,210,England,E12000005,E08000025
B29 4,52.42927,-1.961086,192,England,E12000005,E08000025
B29 5,52.438236,-1.966259,247,England,E12000005,E08000025
B29 6,52.439672,-1.939731,349,England,E12000005,E08000025
B29 7,52.441049,-1.922671,241,England,E12000005,E08000025
B29 9,52.438282,-1.935799,90,England,E12000005,E08000025
B3 1,52.48304,-1.905224,271,England,E12000005,E08000025
B3 2,52.482861,-1.900269,249,England,E12000005,E08000025
B3 3,52.480712,-1.903188,199,England,E12000005,E08000025
B30 1,52.421903,-1.941034,274,England,E12000005,E08000025
B30 2,52.426819,-1.922106,297,England,E12000005,E08000025
B30 3,52.414357,-1.919013,218,England,E12000005,E08000025
B30 9,52.830943,-1.913355,115,England,E12000005,E08000025
B31 1,52.422682,-1.979828,271,England,E12000005,E08000025
B31 2,52.411153,-1.96936,355,England,E12000005,E08000025
B31 3,52.402559,-1.959566,278,England,E12000005,E08000025
B31 4,52.396645,-1.973392,262,England,E12000005,E08000025
B31 5,52.409041,-1.990455,229,England,E12000005,E08000025
B31 9,52.415381,-1.971147,111,England,E12000005,E08000025
B32 1,52.458082,-2.000024,220,England,E12000005,E08000025
B32 2,52.457239,-1.982222,280,England,E12000005,E08000025
B32 3,52.441632,-1.99483,281,England,E12000005,E08000025
B32 4,52.433147,-2.00901,137,England,E12000005,E08000025
B32 9,52.677795,-1.986115,219,England,E12000005,E08000025
B33 0,52.475662,-1.772547,313,England,E12000005,E08000025
B33 3,52.485746,-1.786864,103,England,E12000005,E08000025
B33 8,52.479874,-1.802707,262,England,E12000005,E08000025
B33 9,52.486158,-1.792022,265,England,E12000005,E08000025
B34 6,52.495654,-1.791938,208,England,E12000005,E08000025
B34 7,52.495715,-1.769637,177,England,E12000005,E08000025
B35 6,52.521671,-1.78869,173,England,E12000005,E08000025
B35 7,52.516062,-1.789514,205,England,E12000005,E08000025
B35 9,52.509849,-1.793733,80,England,E12000005,E08000025
B36 0,52.502464,-1.755489,250,England,E12000005,E08000029
B36 8,52.503758,-1.809932,259,England,E12000005,E08000025
B36 9,52.507943,-1.772681,210,England,E12000005,E08000029
B37 5,52.478415,-1.748807,240,England,E12000005,E08000029
B37 6,52.488059,-1.74395,249,England,E12000005,E08000029
B37 7,52.471652,-1.735994,373,England,E12000005,E08000029
B37 9,52.480325,-1.740857,77,England,E12000005,E08000029
B38 0,52.396725,-1.913186,71,England,E12000005,E07000234
B38 8,52.40396,-1.942211,260,England,E12000005,E08000025
B38 9,52.399375,-1.931277,262,England,E12000005,E08000025
B4 6,52.483213,-1.896741,258,England,E12000005,E08000025
B4 7,52.484581,-1.890108,229,England,E12000005,E08000025
B40 1,52.458315,-1.723902,27,England,E12000005,E08000029
B42 1,52.530517,-1.914669,267,England,E12000005,E08000025
B42 2,52.534031,-1.905834,317,England,E12000005,E08000025
B42 9,52.965743,-1.87051,223,England,E12000005,E08000025
B43 5,52.539079,-1.938986,220,England,E12000005,E08000028
B43 6,52.546515,-1.936131,202,England,E12000005,E08000028
B43 7,52.556125,-1.912215,247,England,E12000005,E08000030
B44 0,52.545273,-1.87562,278,England,E12000005,E08000025
B44 8,52.538484,-1.891161,259,England,E12000005,E08000025
B44 9,52.551255,-1.890873,262,England,E12000005,E08000025
B45 0,52.404264,-2.015546,141,England,E12000005,E08000025
B45 5,52.385949,-2.0029,108,England,E12000005,E08000025
B45 8,52.377953,-1.998836,350,England,E12000005,E07000234
B45 9,52.393611,-2.015989,349,England,E12000005,E08000025
B46 1,52.509968,-1.719913,276,England,E12000005,E07000218
B46 2,52.516579,-1.657478,194,England,E12000005,E07000218
B46 3,52.492329,-1.70585,136,England,E12000005,E07000218
B46 9,52.498123,-1.70582,67,England,E12000005,E07000218
B47 5,52.394061,-1.88057,174,England,E12000005,E07000234
B47 6,52.381053,-1.881852,121,England,E12000005,E07000234
B48 7,52.356893,-1.951582,244,England,E12000005,E07000234
B49 5,52.215536,-1.884326,229,England,E12000005,E07000221
B49 6,52.219856,-1.851969,249,England,E12000005,E07000221
B49 9,52.960658,-1.840896,64,England,E12000005,E07000221
B5 4,52.476784,-1.897994,220,England,E12000005,E08000025
B5 5,52.478471,-1.889703,180,England,E12000005,E08000025
B5 6,52.473156,-1.893697,199,England,E12000005,E08000025
B5 7,52.464689,-1.902039,323,England,E12000005,E08000025
B50 4,52.169581,-1.856553,229,England,E12000005,E07000221
B50 9,99.999999,0.0,1,England,,
B6 4,52.494441,-1.891274,194,England,E12000005,E08000025
B6 5,52.501,-1.886387,160,England,E12000005,E08000025
B6 6,52.50604,-1.89134,199,England,E12000005,E08000025
B6 7,52.508921,-1.877716,241,England,E12000005,E08000025
B6 9,52.495968,-1.894209,83,England,E12000005,E08000025
B60 1,52.347124,-2.033295,237,England,E12000005,E07000234
B60 2,52.328754,-2.051259,239,England,E12000005,E07000234
B60 3,52.319812,-2.057878,261,England,E12000005,E07000234
B60 4,52.296757,-2.069757,180,England,E12000005,E07000234
B60 5,99.999999,0.0,1,England,,
B60 9,52.321315,-2.045336,301,England,E12000005,E07000234
B61 0,52.355691,-2.055063,304,England,E12000005,E07000234
B61 7,52.326448,-2.073527,187,England,E12000005,E07000234
B61 8,52.339214,-2.06563,227,England,E12000005,E07000234
B61 9,52.350549,-2.089109,158,England,E12000005,E07000234
B62 0,52.436178,-2.040854,192,England,E12000005,E08000027
B62 2,53.070532,-2.019933,237,England,E12000005,E08000027
B62 8,52.461624,-2.039312,270,England,E12000005,E08000027
B62 9,52.467851,-2.026053,257,England,E12000005,E08000027
B63 1,52.4431,-2.075904,137,England,E12000005,E08000027
B63 2,52.460391,-2.084994,299,England,E12000005,E08000027
B63 3,52.454846,-2.052589,313,England,E12000005,E08000027
B63 4,52.448036,-2.060972,274,England,E12000005,E08000027
B64 5,52.476573,-2.073459,225,England,E12000005,E08000028
B64 6,52.473003,-2.065413,209,England,E12000005,E08000028
B64 7,52.467217,-2.067553,199,England,E12000005,E08000028
B65 0,52.477505,-2.037057,237,England,E12000005,E08000028
B65 8,52.485564,-2.055013,194,England,E12000005,E08000028
B65 9,52.486182,-2.03996,215,England,E12000005,E08000028
B66 1,52.501504,-1.982498,228,England,E12000005,E08000028
B66 2,52.49752,-1.958305,248,England,E12000005,E08000028
B66 3,52.492059,-1.960135,248,England,E12000005,E08000028
B66 4,52.483423,-1.963598,229,England,E12000005,E08000028
B67 5,52.478066,-1.977307,221,England,E12000005,E08000028
B67 6,52.486955,-1.978408,206,England,E12000005,E08000028
B67 7,52.494586,-1.979096,211,England,E12000005,E08000028
B67 9,52.495151,-1.971877,145,England,E12000005,E08000028
B68 0,52.469728,-2.001689,225,England,E12000005,E08000028
B68 8,52.487388,-2.007633,222,England,E12000005,E08000028
B68 9,52.482923,-1.99661,245,England,E12000005,E08000028
B69 1,52.500284,-2.040441,294,England,E12000005,E08000028
B69 2,52.506314,-2.032074,206,England,E12000005,E08000028
B69 3,52.510503,-2.025616,169,England,E12000005,E08000028
B69 4,52.497755,-2.011811,283,England,E12000005,E08000028
B69 9,52.504193,-2.010446,168,England,E12000005,E08000028
B7 4,52.489051,-1.879424,238,England,E12000005,E08000025
B7 5,52.499298,-1.868458,203,England,E12000005,E08000025
B70 0,52.532669,-2.018417,283,England,E12000005,E08000028
B70 1,53.85266,-1.94002,142,England,E12000005,E08000028
B70 6,52.512841,-1.985564,246,England,E12000005,E08000028
B70 7,52.5141,-1.996773,223,England,E12000005,E08000028
B70 8,52.518112,-2.001152,236,England,E12000005,E08000028
B70 9,52.521366,-2.010989,270,England,E12000005,E08000028
B71 1,52.530937,-1.996338,220,England,E12000005,E08000028
B71 2,52.540038,-2.000364,213,England,E12000005,E08000028
B71 3,52.541903,-1.979525,225,England,E12000005,E08000028
B71 4,52.521098,-1.981999,137,England,E12000005,E08000028
B72 1,52.554435,-1.823561,376,England,E12000005,E08000025
B73 5,52.548697,-1.838219,338,England,E12000005,E08000025
B73 6,52.559136,-1.846841,307,England,E12000005,E08000025
B73 9,52.819779,-1.819808,378,England,E12000005,E08000025
B74 2,52.57386,-1.852648,335,England,E12000005,E08000025
B74 3,52.583044,-1.876569,314,England,E12000005,E08000030
B74 4,52.590517,-1.843216,325,England,E12000005,E08000025
B75 5,52.5902,-1.817628,298,England,E12000005,E08000025
B75 6,52.577085,-1.812748,265,England,E12000005,E08000025
B75 7,52.565238,-1.80223,283,England,E12000005,E08000025
B76 0,52.54449,-1.704673,48,England,E12000005,E07000218
B76 1,52.545074,-1.802377,363,England,E12000005,E08000025
B76 2,52.553388,-1.798401,152,England,E12000005,E08000025
B76 8,52.542405,-1.796116,374,England,E12000005,E08000025
B76 9,52.541035,-1.757849,140,England,E12000005,E08000025
B77 1,52.610731,-1.68489,219,England,E12000005,E07000199
B77 2,52.62143,-1.672369,266,England,E12000005,E07000199
B77 3,52.633224,-1.67019,191,England,E12000005,E07000199
B77 4,52.623644,-1.652005,278,England,E12000005,E07000199
B77 5,52.605837,-1.665738,249,England,E12000005,E07000199
B77 9,52.628524,-1.685863,262,England,E12000005,E07000199
B78 1,52.612301,-1.619365,261,England,E12000005,E07000218
